group_collapsed,sec,HR_mean
Conventional,0,30.929245403834752
Conventional,1,39.231567573547366
Conventional,2,49.11862245287214
Conventional,3,56.10803598676409
Conventional,4,65.05114387330555
Conventional,5,69.6775550706046
Conventional,6,75.11251649856567
Conventional,7,77.33795808156331
Conventional,8,79.03636602674212
Conventional,9,80.92773063296363
Conventional,10,80.94159667605446
Conventional,11,82.11636107308524
Conventional,12,83.87310472215925
Conventional,13,84.24920132500785
Conventional,14,83.11015072323028
Conventional,15,82.93611154556274
Conventional,16,83.82119283222016
Conventional,17,82.9574903306507
Conventional,18,80.80558504831222
Conventional,19,81.27087733859108
Conventional,20,80.03518181755429
Conventional,21,77.99364406040736
Conventional,22,78.01446895145234
Conventional,23,77.2606940133231
Conventional,24,77.96309434345791
Conventional,25,78.34072471800305
Conventional,26,77.41039143516903
Conventional,27,75.80999602817353
Conventional,28,76.78643279756818
Conventional,29,77.8763528415135
Conventional,30,80.14475993201846
Conventional,31,81.28736746651786
Conventional,32,81.27779847099667
Conventional,33,80.94753952480498
Conventional,34,80.39803348268781
Conventional,35,82.64429309027535
Conventional,36,83.93691570191156
Conventional,37,83.42488486880347
Conventional,38,82.87233819961548
Conventional,39,82.16796562558127
Conventional,40,81.47419399079823
Conventional,41,79.84715487162273
Conventional,42,80.55192118145172
Conventional,43,82.01938018798829
Conventional,44,83.19135067349389
Conventional,45,83.87281314759028
Conventional,46,83.86949947448004
Conventional,47,83.18612073716663
Conventional,48,83.95293136778332
Conventional,49,85.40614312489826
Conventional,50,85.73849236170452
Conventional,51,85.35246209644136
Conventional,52,84.7233144260588
Conventional,53,84.3932648386274
Conventional,54,84.08711777641659
Conventional,55,84.13634396507626
Conventional,56,85.8874203091576
Conventional,57,86.77166734877086
Conventional,58,85.73487629663376
Conventional,59,85.21523889814105
Conventional,60,84.49893427803403
Conventional,61,85.89443365732829
Conventional,62,86.46565305619012
Conventional,63,87.81040014539447
Conventional,64,88.39141795748756
Conventional,65,88.44427607400077
Conventional,66,89.02705203919183
Conventional,67,90.26739689963203
Conventional,68,90.19635909852528
Conventional,69,88.78032225654239
Conventional,70,88.70227178846088
Conventional,71,87.81120575496128
Conventional,72,89.18582947140648
Conventional,73,87.06323998314994
Conventional,74,86.87613151186989
Conventional,75,87.56320078713553
Conventional,76,86.70747499011811
Conventional,77,85.69485862822759
Conventional,78,85.57866434369768
Conventional,79,85.55515430087135
Conventional,80,83.44490445909047
Conventional,81,81.73166406268166
Conventional,82,81.91621281305949
Conventional,83,83.68591049739292
Conventional,84,83.9518354779198
Conventional,85,84.99042882011051
Conventional,86,85.88572571164086
Conventional,87,87.22706791105725
Conventional,88,87.61876112620035
Conventional,89,87.77556267692928
Conventional,90,86.95711367925007
Conventional,91,87.93267684209914
Conventional,92,87.18351005372547
Conventional,93,86.02592368352981
Conventional,94,85.24457882926578
Conventional,95,85.92913057236444
Conventional,96,85.95986728214082
Conventional,97,86.80314395087106
Conventional,98,86.89046734855289
Conventional,99,86.88543435959589
Conventional,100,85.9041606721424
Conventional,101,85.82550090154011
Conventional,102,87.06656493232364
Conventional,103,87.18563490822201
Conventional,104,86.54096921284993
Conventional,105,85.95474180948166
Conventional,106,86.4144937606085
Conventional,107,86.53290489741734
Conventional,108,85.3997281846546
Conventional,109,86.05349095662434
Conventional,110,87.53826599575225
Conventional,111,88.26900946299236
Conventional,112,88.05025024868193
Conventional,113,87.83243469056629
Conventional,114,87.14833236421858
Conventional,115,88.13426571800595
Conventional,116,89.22413296472459
Conventional,117,89.2598872638884
Conventional,118,87.76365853264218
Conventional,119,87.27020877656483
Conventional,120,85.51857996441069
Conventional,121,84.49942428952171
Conventional,122,83.31495388121832
Conventional,123,83.50770547049386
Conventional,124,85.89538323084514
Conventional,125,86.24721129281181
Conventional,126,86.49354331606911
Conventional,127,87.14972323463077
Conventional,128,88.74357887449719
Conventional,129,89.88802908942813
Conventional,130,90.3171222959246
Conventional,131,89.84304387228829
Conventional,132,91.0539463769822
Conventional,133,90.669044421968
Conventional,134,91.07197329203288
Conventional,135,90.36194359007335
Conventional,136,88.54316916692825
Conventional,137,87.51110082353864
Conventional,138,86.65632168906075
Conventional,139,84.6493565513974
Conventional,140,84.5367024467105
Conventional,141,85.26748716717674
Conventional,142,84.67622986748104
Conventional,143,83.00149261837915
Conventional,144,82.4172106152489
Conventional,145,83.88006301153274
Conventional,146,84.58508348919096
Conventional,147,85.2172265461513
Conventional,148,85.81971343812488
Conventional,149,86.84211757750738
Conventional,150,86.07771838960194
Conventional,151,85.51031150817872
Conventional,152,84.82932094392322
Conventional,153,85.79343077341716
Conventional,154,86.75626338777089
Conventional,155,86.05559691474552
Conventional,156,86.34830807277135
Conventional,157,88.563565662929
Conventional,158,89.26654431479318
Conventional,159,89.25656192416237
Conventional,160,88.65746366410028
Conventional,161,87.49317565191359
Conventional,162,86.15597906112671
Conventional,163,86.17006232852027
Conventional,164,85.33213410150437
Conventional,165,85.88228977748325
Conventional,166,85.00570378984723
Conventional,167,84.00593432925996
Conventional,168,84.21879496347336
Conventional,169,85.43354490370977
Conventional,170,86.65056947072347
Conventional,171,87.766198185512
Conventional,172,86.64842673256284
Conventional,173,85.82051616396222
Conventional,174,85.8540755498977
Conventional,175,86.95308583577474
Conventional,176,85.44001484371367
Conventional,177,86.90309981845674
Conventional,178,84.49712915874663
Conventional,179,80.65593181791759
Conventional,180,79.59228163219635
Conventional,181,81.75254878089542
Conventional,182,84.97547070639473
Conventional,183,87.84284525371734
Conventional,184,87.97804529099237
Conventional,185,86.7806273414975
Conventional,186,85.68312966028849
Conventional,187,84.16186111995152
Conventional,188,82.93161928540184
Conventional,189,85.14040604091826
Conventional,190,87.19496648879279
Conventional,191,86.8730071703593
Conventional,192,87.00756541660854
Conventional,193,83.8773144040789
Conventional,194,82.51389853613716
Conventional,195,81.99232628231957
Conventional,196,81.31142651694161
Conventional,197,79.01618191401164
Conventional,198,77.4879976363409
Conventional,199,76.80554758707683
Conventional,200,78.39006199155536
Conventional,201,78.98198738098145
Conventional,202,79.84831817717779
Conventional,203,80.84936092467535
Conventional,204,82.33154686519077
Conventional,205,83.13309479668027
Conventional,206,83.58609526497978
Conventional,207,83.35808172680083
Conventional,208,81.69972573689053
Conventional,209,80.00298741204398
Conventional,210,78.57231369018555
Conventional,211,76.85496784391857
Conventional,212,75.9576917375837
Conventional,213,76.43175281343007
Conventional,214,78.2592499596732
Conventional,215,81.28686121531895
Conventional,216,83.71477649779547
Conventional,217,85.39915940875099
Conventional,218,85.16750406991868
Conventional,219,85.04293265115646
Conventional,220,83.41255059923444
Conventional,221,86.30673000244867
Conventional,222,89.86551854723976
Conventional,223,89.53392314910889
Conventional,224,89.21573097592308
Conventional,225,89.94466582706997
Conventional,226,86.94365891502018
Conventional,227,85.09957316716512
Conventional,228,85.4252190726144
Conventional,229,84.87754716419037
Conventional,230,82.60823425565448
Conventional,231,84.19385604404268
Conventional,232,85.96820517948696
Conventional,233,88.17131510235015
Conventional,234,89.63328263419014
Conventional,235,90.10017246972947
Conventional,236,90.20001291547503
Conventional,237,90.12404093061176
Conventional,238,89.63796141488211
Conventional,239,86.57689862728118
VR,0,30.84214657269991
VR,1,37.10715017318726
VR,2,43.79722738999587
VR,3,53.09832548361558
VR,4,60.68635622538053
VR,5,68.34256952359127
VR,6,70.39074645776014
VR,7,72.68979103015019
VR,8,75.023211816641
VR,9,76.50111799973708
VR,10,76.04533824553856
VR,11,75.58120586321904
VR,12,74.52985039490919
VR,13,73.14070091614356
VR,14,73.54810307576106
VR,15,74.72146979845488
VR,16,75.09507916890658
VR,17,76.50321135520936
VR,18,77.81970633726854
VR,19,77.29974919465872
VR,20,77.75439813320453
VR,21,78.43302737015944
VR,22,77.90653696426979
VR,23,77.28625154495239
VR,24,77.12118778962355
VR,25,76.89051347879263
VR,26,76.40086972896869
VR,27,75.8245627623338
VR,28,75.33807610365061
VR,29,74.13361810537485
VR,30,74.11539918459378
VR,31,74.23702234488267
VR,32,75.01067828398484
VR,33,75.41823556973384
VR,34,75.77947411903969
VR,35,74.67350324850817
VR,36,75.54599293562082
VR,37,76.47268029726469
VR,38,76.12773560377268
VR,39,75.42588451825655
VR,40,75.19750911639287
VR,41,74.98560686845045
VR,42,74.92588215241065
VR,43,74.95643179233258
VR,44,75.26832102262057
VR,45,76.01679691901573
VR,46,77.30288515824537
VR,47,77.1587193268996
VR,48,77.50667682060829
VR,49,77.36246242523194
VR,50,76.91355985494761
VR,51,75.9509723003094
VR,52,74.92618381793683
VR,53,74.53879364453829
VR,54,73.45607918225802
VR,55,74.13418196164645
VR,56,75.29394178390503
VR,57,76.46042961340684
VR,58,77.39889155534598
VR,59,78.49687533378601
VR,60,78.6811757344466
VR,61,78.3525355559129
VR,62,77.98175635704628
VR,63,77.56589845510629
VR,64,77.19560752281777
VR,65,77.72046450101412
VR,66,78.12247527195858
VR,67,77.90836412723249
VR,68,77.24692263970009
VR,69,77.2161727465116
VR,70,77.01362462043762
VR,71,76.58577726070698
VR,72,76.79018724881686
VR,73,75.60707234602708
VR,74,75.43803970263555
VR,75,77.35061261470501
VR,76,79.41205012981709
VR,77,80.33207635145921
VR,78,80.76640968322752
VR,79,79.97571266981271
VR,80,79.661506825227
VR,81,78.56276240715614
VR,82,78.17628000332759
VR,83,78.29383233143733
VR,84,77.73446880487296
VR,85,77.75978915874774
VR,86,77.90237139188326
VR,87,77.852743434906
VR,88,78.03829306088961
VR,89,78.21089917696439
VR,90,78.35435619721046
VR,91,79.34317537087661
VR,92,79.88482409257155
VR,93,79.42038818506094
VR,94,80.00108531805185
VR,95,80.27578353515038
VR,96,79.95210567621083
VR,97,78.9006535896888
VR,98,78.54414687156677
VR,99,78.48654220287617
VR,100,78.72754847819989
VR,101,79.11562537046578
VR,102,79.49224697626553
VR,103,79.31764986698444
VR,104,79.63438754081727
VR,105,79.73490109076867
VR,106,79.26537707768954
VR,107,79.6007929435143
VR,108,80.46717605224022
VR,109,81.57565065897428
VR,110,83.37186021071214
VR,111,84.71967002061697
VR,112,84.89869270324706
VR,113,83.9826703438392
VR,114,82.42036086962774
VR,115,81.12309894561767
VR,116,80.75912326666025
VR,117,80.77270811887888
VR,118,80.4368187390841
VR,119,80.15817436805138
VR,120,80.95925273161667
VR,121,82.24812443439777
VR,122,83.25351602114164
VR,123,82.9461754322052
VR,124,83.04039691044734
VR,125,83.07260595101577
VR,126,82.94263286590575
VR,127,83.44128380922172
VR,128,84.19404149422279
VR,129,83.98294406303992
VR,130,83.54837442911588
VR,131,83.45455184349647
VR,132,83.68469037276047
VR,133,83.7810875892639
VR,134,83.65438720996563
VR,135,83.5212397135221
VR,136,83.69633035659791
VR,137,83.71991179539607
VR,138,83.32669603641216
VR,139,83.26492289396433
VR,140,83.42897825607886
VR,141,83.26574212587796
VR,142,83.30495895239022
VR,143,83.58565881435688
VR,144,83.89256218763498
VR,145,83.95899873880239
VR,146,83.63039182516243
VR,147,83.2248702269334
VR,148,82.887342775785
VR,149,82.4184110714839
VR,150,81.91287752298209
VR,151,81.9786890726823
VR,152,82.46301591946529
VR,153,82.77858318915735
VR,154,82.70294427504906
VR,155,82.03635783195494
VR,156,81.25795459747314
VR,157,81.26837464112502
VR,158,81.2243513914255
VR,159,80.9134930243859
VR,160,81.29639218036945
VR,161,82.54909184896029
VR,162,82.8044428898738
VR,163,83.79874707001906
VR,164,83.32367360041691
VR,165,82.46437344551086
VR,166,82.13880329865675
VR,167,81.98869437437791
VR,168,82.0373750613286
VR,169,82.77797765365014
VR,170,84.04525744731609
VR,171,85.157638832239
VR,172,85.16072861598089
VR,173,85.16857858804556
VR,174,84.49472107153672
VR,175,84.71500361149128
VR,176,85.1092766394982
VR,177,85.91145709111142
VR,178,84.63686367181631
VR,179,82.59196564601017
VR,180,81.66636612965512
VR,181,81.7854808293856
VR,182,82.50075793633094
VR,183,83.39019241333008
VR,184,84.03279911921574
VR,185,85.4320152576153
VR,186,84.88116044998168
VR,187,82.36860175866347
VR,188,81.67097250498259
VR,189,81.57823632680453
VR,190,81.13451776137718
VR,191,81.73076204886803
VR,192,82.26640429129968
VR,193,83.55217864696796
VR,194,84.24623561272254
VR,195,84.37886496323806
VR,196,84.3878570850079
VR,197,84.25796698056735
VR,198,84.33012412511385
VR,199,84.46624343945429
VR,200,84.74880363757794
VR,201,84.4674144268036
VR,202,84.15430142696087
VR,203,84.1319703909067
VR,204,84.39397186866174
VR,205,84.6418423139132
VR,206,84.49784066860492
VR,207,84.02676748862633
VR,208,83.86720121457027
VR,209,84.32078120891865
VR,210,84.61820441025954
VR,211,84.14400474108183
VR,212,84.01784370128925
VR,213,83.95392761964065
VR,214,83.87854456167955
VR,215,83.87341561317444
VR,216,83.89846911797157
VR,217,84.12708941973173
VR,218,84.21151018876296
VR,219,83.84544686537522
VR,220,83.32593710972712
VR,221,82.75564318436842
VR,222,81.80384270227873
VR,223,82.13608752397391
VR,224,82.24682725392856
VR,225,81.8503172507653
VR,226,82.4888099340292
VR,227,82.57743310832659
VR,228,82.82855892562866
VR,229,82.60760983657838
VR,230,83.13096686601638
VR,231,83.36998253663381
VR,232,82.87355055411656
VR,233,82.90874314380414
VR,234,83.6769699221072
VR,235,83.4718568055526
VR,236,83.18720934494682
VR,237,83.67351202757462
VR,238,84.35565931071406
VR,239,84.58889343842216
